,#,Name,Type 1,Type 2,Legendary,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
1,2,Ivysaur,Grass,Poison,False,750,60,62,63,80,80,60,1
2,3,Venusaur,Grass,Poison,False,970,80,82,83,100,100,80,1
3,3,VenusaurMega Venusaur,Grass,Poison,False,1170,80,100,123,122,120,80,1
49,44,Gloom,Grass,Poison,False,750,60,65,70,85,75,40,1
50,45,Vileplume,Grass,Poison,False,930,75,80,85,110,90,50,1
76,70,Weepinbell,Grass,Poison,False,725,65,90,50,85,45,55,1
77,71,Victreebel,Grass,Poison,False,910,80,105,65,100,70,70,1
452,407,Roserade,Grass,Poison,False,940,60,70,65,125,105,90,4
651,590,Foongus,Grass,Poison,False,573,69,55,45,55,55,15,5
652,591,Amoonguss,Grass,Poison,False,898,114,85,70,85,80,30,5
